	Yritys	Kotipaikka	Toimiala	
23.10.2025	Parturi Kampaamo Unelma	Helsinki		
22.10.2025	Salomaa Logistics Oy	Jyväskylä		
22.10.2025	Taika kirppis	Helsinki		
22.10.2025	Hungerland Hunters ry	Sotkamo		
22.10.2025	Kiinteistö Oy Rukan Lumi	Kuusamo		
22.10.2025	Pohjola-Norden Botnia rf/ry	Vaasa		
22.10.2025	Masked Companyn kannatusyhdistys ry	Jyväskylä		
22.10.2025	Metsäterveys Oy	Lahti		
22.10.2025	Madvisory Oy	Salo		
22.10.2025	Kaksi kokkia catering Oy	Helsinki		
22.10.2025	SR-Edustus Oy	Jyväskylä		
22.10.2025	BV Solutions Oy	Helsinki		
22.10.2025	Aaltoneva Oy	Järvenpää		
22.10.2025	ILO Core Oy	Raisio		
22.10.2025	Ajatuspaja Venekansa Oy	Turku		
22.10.2025	Pohjola Lattia Oy	Hollola		
22.10.2025	Oy Bienefors Ab	Helsinki		
22.10.2025	Vannla Consulting Oy	Helsinki		
22.10.2025	Powder paradise oy	Helsinki		
22.10.2025	Ranmarin Oy	Turku		
22.10.2025	Digital Heart Fund Management Oy	Turku		
22.10.2025	Finventa	Tornio		
22.10.2025	All In Ventures Oy	Vantaa		
22.10.2025	Sisu Kiinteistöpalvelut Oy	Helsinki		
22.10.2025	Talotilanne Oy	Helsinki		
22.10.2025	Savikallio Invest Oy	Vesilahti		
22.10.2025	Pizzalautanen Oy	Espoo		
22.10.2025	Joo Invest Oy	Espoo	70220 - Muu liikkeenjohdon konsultointi	
22.10.2025	Ollinlahti Oy	Kuusamo		
22.10.2025	Diaspora Oy	Helsinki		
22.10.2025	TelaSaari Oy	Sipoo		
22.10.2025	Jan&Kai Group oy	Nurmijärvi		
22.10.2025	Laine BNC Collective Oy	Espoo		
22.10.2025	HPK Works Oy	Kaarina		
22.10.2025	FinAi Solutions Oy	Tampere		
22.10.2025	Uudenmaan Peltisepät Oy	Sipoo		
22.10.2025	Tiihonen Advisory & Capital	Lahti		
22.10.2025	TeamFil Oy	Naantali		
22.10.2025	Trail Openers Crew Oy	Helsinki		
22.10.2025	KM-Siivous Oy	Kontiolahti		
22.10.2025	Opus Investment Oy	Espoo		
22.10.2025	InFused Consulting Oy	Helsinki		
22.10.2025	Akvilander Oy Ab	Helsinki		
22.10.2025	Meadowland Oy	Helsinki		
22.10.2025	Hoa Sen Helsinki Oy	Helsinki		
22.10.2025	Artificial Intelligence Nordic Exchange Oy	Kouvola		
22.10.2025	HyDe Capital Oy	Espoo		
22.10.2025	SV Investing Oy	Tampere		
22.10.2025	North Node Oy	Lahti		
22.10.2025	Savon Proasennus Oy	Kuopio		
22.10.2025	Alajärven Hyvinvointikiinteistöt Oy	Alajärvi		
22.10.2025	A Consulting & Holding Oy	Helsinki		
22.10.2025	Vanguard Hockey Finland OY	Tampere		
22.10.2025	Kirsi Selovuo Oy	Kaarina		
22.10.2025	KeloTech Oy	Espoo		
22.10.2025	Harenko Piano Rental	Turku		
22.10.2025	The Amazing Oy	Turku		
22.10.2025	TOD Partners Oy	Pälkäne		
22.10.2025	Phonexa Oy	Turku		
22.10.2025	KUTUN Ecosystems Finland Oy	Hämeenlinna		
22.10.2025	Money Moment Oy	Oulu		
22.10.2025	Kuusimäkelä Oy	Eurajoki		
22.10.2025	Tmi Vilma Karjalainen	Jyväskylä		
22.10.2025	Vyöhyketerapia MarLena	Kuopio	96090 - Muualla luokittelemattomat henkilökohtaiset palvelut	
22.10.2025	Hautamäki Veera Liisa	Soini	02100 - Metsänhoito	
22.10.2025	banaadiri Tailor	Helsinki		
22.10.2025	Asante Alex	Vaasa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
22.10.2025	Jayasekara Mudiyanselage Ksithijaya Sudeera Gunathilaka	Lohja	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
22.10.2025	Koskela Solutions	Kuopio		
22.10.2025	Tmi Paavo Sundell	Helsinki		
22.10.2025	Jere Nästi	Helsinki		
22.10.2025	Laulava	Hyvinkää	85520 - Taiteen ja musiikin koulutus	
22.10.2025	Ahkera	Espoo		
22.10.2025	Hallenberg Henrik Juhana	Helsinki	02100 - Metsänhoito	
22.10.2025	Dias Mahathelge Shiheni Prisanthi	Loimaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
22.10.2025	Abdullah Muhammad	Lappeenranta	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
22.10.2025	Tiia Wiman Tmi	Oulu	86909 - Muu terveyspalvelu	
22.10.2025	Urheiluhieroja Rita Räisänen	Vantaa		
22.10.2025	Lotta Sivunen TMI	Tampere		
22.10.2025	J. Lammi Consulting	Kauhava		
22.10.2025	Karonia Käsityöt	Hamina		
